,Date,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount
0,2023-03-09 16:08:59.301849,203.179,7.0,,,,,,,,2.95478349609375,,,,,,,,,22.0,0.0,0.0
1,2023-03-09 16:08:59.301849,204.179,8.0,,,,,,,,2.95478349609375,55.99312323630852,,,,,,,,22.0,0.0,0.0
2,2023-03-09 16:08:59.301849,205.179,9.0,,,,,,,,2.95478349609375,55.99312323630852,0.0,,,,,,,25.0,0.0,0.0
3,2023-03-09 16:08:59.301849,206.179,10.0,,,,,,,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,,,,,,24.0,0.0,0.0
4,2023-03-09 16:08:59.301849,207.179,11.0,,,,,,,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,21.0,0.0,0.0
5,2023-03-09 16:08:59.301849,208.179,0.0,-273.0,,,,,,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,31.0,0.0,0.0
6,2023-03-09 16:08:59.301849,209.179,1.0,-273.0,-268.48299316406246,,,,,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,30.0,0.0,0.0
7,2023-03-09 16:08:59.301849,210.179,2.0,-273.0,-268.48299316406246,18.402026367187485,,,,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,31.0,0.0,0.0
8,2023-03-09 16:08:59.301849,211.179,3.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,,,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,16.0,0.0,0.0
9,2023-03-09 16:08:59.301849,212.179,4.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,22.0,0.0,0.0
10,2023-03-09 16:08:59.301849,213.179,5.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,25.0,0.0,0.0
11,2023-03-09 16:08:59.301849,214.179,6.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,31.0,0.0,0.0
12,2023-03-09 16:08:59.301849,215.179,7.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,55.99312323630852,0.0,0.00082628173828125,0.0,,,,,24.0,0.0,0.0
13,2023-03-09 16:08:59.301849,216.179,8.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.00082628173828125,0.0,,,,,24.0,0.0,0.0
14,2023-03-09 16:08:59.301849,217.179,9.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.00082628173828125,0.0,,,,,29.0,0.0,0.0
15,2023-03-09 16:08:59.301849,217.345,15.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.00082628173828125,0.0,,,,3.339279931640625,2.0,0.0,0.0
16,2023-03-09 16:08:59.301849,218.345,10.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.0008951385498046875,0.0,,,,3.339279931640625,32.0,0.0,0.0
17,2023-03-09 16:08:59.301849,219.345,11.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.0008951385498046875,0.0,,,,3.339279931640625,43.0,0.0,0.0
18,2023-03-09 16:08:59.301849,220.345,0.0,-273.0,-268.48299316406246,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.0008951385498046875,0.0,,,,3.339279931640625,36.0,0.0,0.0
19,2023-03-09 16:08:59.301849,221.345,1.0,-273.0,-268.59316406249997,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.0008951385498046875,0.0,,,,3.339279931640625,37.0,0.0,0.0
20,2023-03-09 16:08:59.301849,222.345,2.0,-273.0,-268.59316406249997,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.0008951385498046875,0.0,,,,3.339279931640625,35.0,0.0,0.0
21,2023-03-09 16:08:59.301849,223.345,3.0,-273.0,-268.59316406249997,18.402026367187485,-273.0,65.85771484374999,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.0008951385498046875,0.0,,,,3.339279931640625,28.0,0.0,0.0
22,2023-03-09 16:08:59.301849,224.345,4.0,-273.0,-268.59316406249997,18.402026367187485,-273.0,66.469775390625,2.12629833984375,42.48978411455481,2.95478349609375,56.177355507943155,0.0,0.0008951385498046875,0.0,,,,3.339279931640625,35.0,0.0,0.0
