,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount
0,2904.19,8.0,,,,,,,,,57.221338380539294,,,,,,,,31.0,0.0,0.0
1,2905.19,9.0,,,,,,,,,57.221338380539294,0.0,,,,,,,40.0,0.0,0.0
2,2906.19,10.0,,,,,,,,,57.221338380539294,0.0,0.00082628173828125,,,,,,40.0,0.0,0.0
3,2907.19,11.0,,,,,,,,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,44.0,0.0,0.0
4,2908.19,0.0,-273.0,,,,,,,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,41.0,0.0,0.0
5,2909.19,1.0,-273.0,-268.48299316406246,,,,,,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,40.0,0.0,0.0
6,2910.19,2.0,-273.0,-268.48299316406246,19.393564453124988,,,,,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,31.0,0.0,0.0
7,2911.19,3.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,,,,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,43.0,0.0,0.0
8,2912.19,4.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,,,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,37.0,0.0,0.0
9,2913.19,5.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,41.0,0.0,0.0
10,2914.19,6.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,33.0,0.0,0.0
11,2915.19,7.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.221338380539294,0.0,0.00082628173828125,0.0,,,,,39.0,0.0,0.0
12,2916.19,8.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,41.0,0.0,0.0
13,2917.19,9.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,36.0,0.0,0.0
14,2918.19,10.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,37.0,0.0,0.0
15,2919.19,11.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,30.0,0.0,0.0
16,2920.19,0.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,27.0,0.0,0.0
17,2921.19,1.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,38.0,0.0,0.0
18,2922.19,2.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,30.0,0.0,0.0
19,2923.19,3.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,67.7551025390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,49.0,0.0,0.0
20,2924.19,4.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,66.469775390625,2.4083358398437498,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,40.0,0.0,0.0
21,2925.19,5.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,66.469775390625,2.4072341308593748,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,36.0,0.0,0.0
22,2926.19,6.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,66.469775390625,2.4072341308593748,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,39.0,0.0,0.0
23,2927.19,7.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,66.469775390625,2.4072341308593748,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,35.0,0.0,0.0
24,2928.19,8.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,66.469775390625,2.4072341308593748,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,21.0,0.0,0.0
25,2929.19,9.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,66.469775390625,2.4072341308593748,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,33.0,0.0,0.0
26,2930.19,10.0,-273.0,-268.48299316406246,19.393564453124988,-273.0,66.469775390625,2.4072341308593748,42.73109590611653,3.339279931640625,57.09851686611621,0.0,0.00082628173828125,0.0,,,,,37.0,0.0,0.0
