Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
2024-01-26 05:11:24.990200,1898.999,True,1.063631,1.098473,1.13717,1.127668
2024-01-26 05:11:25.982025,1899.999,False,1.030304,6.9e-05,0.0,0.0
2024-01-26 05:11:25.982050,1899.999,True,1.063631,1.098197,1.137101,1.127668
2024-01-26 05:11:26.989875,1900.999,False,1.203686,6.9e-05,0.0,0.0
2024-01-26 05:11:26.989875,1900.999,True,1.063907,1.098335,1.137239,1.12753
2024-01-26 05:11:27.981700,1901.999,False,1.419621,6.9e-05,0.0,0.0
2024-01-26 05:11:27.981700,1901.999,True,1.0637,1.098128,1.137033,1.12753
2024-01-26 05:11:28.989525,1902.999,False,1.704206,6.9e-05,0.0,0.0
2024-01-26 05:11:28.989550,1902.999,True,1.063631,1.098404,1.13717,1.127393
2024-01-26 05:11:29.981350,1903.999,False,1.974469,6.9e-05,0.0,0.0
2024-01-26 05:11:29.981350,1903.999,True,1.063631,1.098335,1.137377,1.127737
2024-01-26 05:11:30.988600,1904.999,False,2.304569,6.9e-05,0.0,0.0
2024-01-26 05:11:30.994125,1904.999,True,1.063769,1.098266,1.13717,1.127668
2024-01-26 05:11:31.980975,1905.999,False,2.538338,6.9e-05,0.0,0.0
2024-01-26 05:11:31.981000,1905.999,True,1.063769,1.098335,1.137239,1.127393
2024-01-26 05:11:32.988700,1906.999,False,2.820375,6.9e-05,0.0,0.0
2024-01-26 05:11:32.988725,1906.999,True,1.063631,1.098266,1.137033,1.127461
2024-01-26 05:11:33.980650,1907.999,False,3.102412,6.9e-05,0.0,0.0
2024-01-26 05:11:33.980650,1907.999,True,1.063562,1.098197,1.137033,1.127599
2024-01-26 05:11:34.988525,1908.999,False,0.18371,6.9e-05,0.0,0.0
2024-01-26 05:11:34.988525,1908.999,True,1.063562,1.098335,1.136964,1.12753
2024-01-26 05:11:35.980100,1909.999,False,0.285067,6.9e-05,0.0,0.0
2024-01-26 05:11:35.980100,1909.999,True,1.063425,1.098197,1.136895,1.127393
2024-01-26 05:11:36.988125,1910.999,False,0.747923,6.9e-05,0.0,0.0
2024-01-26 05:11:36.988150,1910.999,True,1.063562,1.098197,1.13717,1.127461
2024-01-26 05:11:37.979375,1911.999,False,1.030304,6.9e-05,0.0,0.0
2024-01-26 05:11:37.995900,1911.999,True,1.063631,1.098128,1.136964,1.127461
2024-01-26 05:11:38.987725,1912.999,False,1.203204,6.9e-05,0.0,0.0
2024-01-26 05:11:38.987725,1912.999,True,1.063493,1.098335,1.137101,1.127393
2024-01-26 05:11:39.995150,1913.999,False,1.419621,6.9e-05,0.0,0.0
2024-01-26 05:11:40.000325,1913.999,True,1.063425,1.09806,1.137033,1.12753
2024-01-26 05:11:40.988575,1914.999,False,1.704206,6.9e-05,0.0,0.0
2024-01-26 05:11:40.990625,1914.999,True,1.063631,1.098197,1.137101,1.12753
2024-01-26 05:11:41.995200,1915.999,False,1.974469,6.9e-05,0.0,0.0
2024-01-26 05:11:41.995225,1915.999,True,1.063631,1.098197,1.137101,1.127599
2024-01-26 05:11:42.987200,1916.999,False,2.3045,6.9e-05,0.0,0.0
2024-01-26 05:11:42.987200,1916.999,True,1.063493,1.09806,1.137101,1.127461
2024-01-26 05:11:43.994925,1917.999,False,2.538338,6.9e-05,0.0,0.0
2024-01-26 05:11:43.994925,1917.999,True,1.0637,1.098266,1.13717,1.12753
2024-01-26 05:11:44.986675,1918.999,False,2.820375,6.9e-05,0.0,0.0
2024-01-26 05:11:44.986675,1918.999,True,1.063493,1.098128,1.137101,1.127461
2024-01-26 05:11:45.994225,1919.999,False,3.102412,6.9e-05,0.0,0.0
2024-01-26 05:11:45.999225,1919.999,True,1.063631,1.098266,1.136895,1.127461
2024-01-26 05:11:46.985725,1920.999,False,0.18371,6.9e-05,0.0,0.0
2024-01-26 05:11:46.991025,1920.999,True,1.0637,1.098128,1.137101,1.127461
2024-01-26 05:11:47.993650,1921.999,False,0.285136,6.9e-05,0.0,0.0
2024-01-26 05:11:47.999075,1921.999,True,1.063562,1.098266,1.137101,1.127599
2024-01-26 05:11:48.985450,1922.999,False,0.747923,6.9e-05,0.0,0.0
2024-01-26 05:11:48.990900,1922.999,True,1.063356,1.097991,1.137033,1.127324
2024-01-26 05:11:49.993325,1923.999,False,1.030304,6.9e-05,0.0,0.0
2024-01-26 05:11:49.999725,1923.999,True,1.063631,1.098404,1.137308,1.127461
2024-01-26 05:11:50.985800,1924.999,False,1.203342,6.9e-05,0.0,0.0
2024-01-26 05:11:50.985825,1924.999,True,1.063769,1.098266,1.13717,1.12753
2024-01-26 05:11:51.993675,1925.999,False,1.41969,6.9e-05,0.0,0.0
2024-01-26 05:11:51.993675,1925.999,True,1.0637,1.09806,1.137033,1.127599
2024-01-26 05:11:52.985475,1926.999,False,1.704206,6.9e-05,0.0,0.0
2024-01-26 05:11:52.985500,1926.999,True,1.063769,1.098335,1.137101,1.12753
2024-01-26 05:11:53.993350,1927.999,False,1.974469,6.9e-05,0.0,0.0
2024-01-26 05:11:53.993350,1927.999,True,1.063631,1.098266,1.13717,1.127324
2024-01-26 05:11:54.985175,1928.999,False,2.304637,6.9e-05,0.0,0.0
2024-01-26 05:11:54.985175,1928.999,True,1.063631,1.098197,1.136964,1.127599
2024-01-26 05:11:55.993125,1929.999,False,2.538338,6.9e-05,0.0,0.0
2024-01-26 05:11:55.993150,1929.999,True,1.063631,1.098266,1.13717,1.127461
2024-01-26 05:11:56.984925,1930.999,False,2.820375,6.9e-05,0.0,0.0
2024-01-26 05:11:56.984925,1930.999,True,1.063562,1.098128,1.137239,1.127461
2024-01-26 05:11:57.992750,1931.999,False,3.102412,6.9e-05,0.0,0.0
2024-01-26 05:11:57.992750,1931.999,True,1.063562,1.098197,1.136964,1.127599
2024-01-26 05:11:58.984575,1932.999,False,0.18371,6.9e-05,0.0,0.0
2024-01-26 05:11:58.984575,1932.999,True,1.063493,1.098266,1.137033,1.127599
2024-01-26 05:11:59.992275,1933.999,False,0.285205,6.9e-05,0.0,0.0
2024-01-26 05:11:59.992275,1933.999,True,1.063769,1.098404,1.13717,1.127461
2024-01-26 05:12:00.983500,1934.999,False,0.747923,6.9e-05,0.0,0.0
2024-01-26 05:12:00.988950,1934.999,True,1.0637,1.098197,1.137101,1.127324
2024-01-26 05:12:01.991300,1935.999,False,1.030304,6.9e-05,0.0,0.0
2024-01-26 05:12:01.996775,1935.999,True,1.063769,1.098197,1.137101,1.127599
2024-01-26 05:12:02.983175,1936.999,False,1.203342,6.9e-05,0.0,0.0
2024-01-26 05:12:02.988600,1936.999,True,1.063769,1.097922,1.137033,1.127668
2024-01-26 05:12:03.990975,1937.999,False,1.41969,6.9e-05,0.0,0.0
2024-01-26 05:12:03.996425,1937.999,True,1.063769,1.098197,1.137101,1.127393
2024-01-26 05:12:04.982825,1938.999,False,1.704206,6.9e-05,0.0,0.0
2024-01-26 05:12:04.988275,1938.999,True,1.063631,1.097853,1.137101,1.127461
2024-01-26 05:12:05.990650,1939.999,False,1.974469,6.9e-05,0.0,0.0
2024-01-26 05:12:05.996075,1939.999,True,1.063562,1.098197,1.136895,1.12753
2024-01-26 05:12:06.982525,1940.999,False,2.3045,6.9e-05,0.0,0.0
2024-01-26 05:12:06.988000,1940.999,True,1.063631,1.098128,1.13717,1.127461
2024-01-26 05:12:07.990325,1941.999,False,2.538338,6.9e-05,0.0,0.0
2024-01-26 05:12:07.995925,1941.999,True,1.063562,1.098266,1.136964,1.127461
2024-01-26 05:12:08.982250,1942.999,False,2.820375,6.9e-05,0.0,0.0
2024-01-26 05:12:08.987650,1942.999,True,1.063493,1.098197,1.137033,1.127393
2024-01-26 05:12:09.989950,1943.999,False,3.102412,6.9e-05,0.0,0.0
2024-01-26 05:12:09.995500,1943.999,True,1.063631,1.098197,1.137033,1.127461
2024-01-26 05:12:10.981825,1944.999,False,0.18371,6.9e-05,0.0,0.0
2024-01-26 05:12:10.987250,1944.999,True,1.0637,1.098335,1.137033,1.127599
2024-01-26 05:12:11.989675,1945.999,False,0.285136,6.9e-05,0.0,0.0
2024-01-26 05:12:11.995125,1945.999,True,1.063562,1.098197,1.136895,1.12753
2024-01-26 05:12:12.982300,1946.999,False,0.747923,6.9e-05,0.0,0.0
2024-01-26 05:12:12.982300,1946.999,True,1.063562,1.098266,1.137033,1.12753
2024-01-26 05:12:13.990125,1947.999,False,1.030304,6.9e-05,0.0,0.0
2024-01-26 05:12:13.990125,1947.999,True,1.063631,1.098197,1.136895,1.127461
2024-01-26 05:12:14.981800,1948.999,False,1.203755,6.9e-05,0.0,0.0
2024-01-26 05:12:14.981800,1948.999,True,1.063493,1.098128,1.136826,1.127599
2024-01-26 05:12:15.989800,1949.999,False,1.419621,6.9e-05,0.0,0.0
2024-01-26 05:12:15.989800,1949.999,True,1.063356,1.097991,1.136895,1.127461
2024-01-26 05:12:16.981600,1950.999,False,1.704275,6.9e-05,0.0,0.0
2024-01-26 05:12:16.981600,1950.999,True,1.063425,1.098266,1.136895,1.127461
2024-01-26 05:12:17.989475,1951.999,False,1.974469,6.9e-05,0.0,0.0
2024-01-26 05:12:17.989500,1951.999,True,1.063631,1.098197,1.136757,1.127599
2024-01-26 05:12:18.981300,1952.999,False,2.304431,6.9e-05,0.0,0.0
2024-01-26 05:12:18.981325,1952.999,True,1.063631,1.097991,1.136964,1.127324
2024-01-26 05:12:19.988675,1953.999,False,2.538338,6.9e-05,0.0,0.0
2024-01-26 05:12:19.988700,1953.999,True,1.063907,1.098335,1.137101,1.127461
