Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
2024-01-26 05:30:52.990650,3066.999,False,1.704275,6.9e-05,0.0,0.0
2024-01-26 05:30:52.990650,3066.999,True,1.062323,1.096751,1.135724,1.126015
2024-01-26 05:30:53.998225,3067.999,False,1.974469,6.9e-05,0.0,0.0
2024-01-26 05:30:53.998225,3067.999,True,1.062461,1.096889,1.135793,1.126153
2024-01-26 05:30:54.990150,3068.999,False,2.304706,6.9e-05,0.0,0.0
2024-01-26 05:30:54.990150,3068.999,True,1.062185,1.096889,1.135724,1.126153
2024-01-26 05:30:55.997950,3069.999,False,2.538338,6.9e-05,0.0,0.0
2024-01-26 05:30:55.997975,3069.999,True,1.062254,1.096889,1.135793,1.126015
2024-01-26 05:30:56.989800,3070.999,False,2.820375,6.9e-05,0.0,0.0
2024-01-26 05:30:56.989825,3070.999,True,1.062392,1.097027,1.135931,1.126153
2024-01-26 05:30:57.997575,3071.999,False,3.102412,6.9e-05,0.0,0.0
2024-01-26 05:30:57.997575,3071.999,True,1.062598,1.097027,1.135655,1.126222
2024-01-26 05:30:58.989325,3072.999,False,0.18371,6.9e-05,0.0,0.0
2024-01-26 05:30:58.989325,3072.999,True,1.062461,1.096958,1.135655,1.126015
2024-01-26 05:30:59.997100,3073.999,False,0.285205,6.9e-05,0.0,0.0
2024-01-26 05:30:59.997125,3073.999,True,1.062323,1.096958,1.135862,1.126015
2024-01-26 05:31:00.988575,3074.999,False,0.74806,6.9e-05,0.0,0.0
2024-01-26 05:31:00.993700,3074.999,True,1.062323,1.09682,1.135862,1.126222
2024-01-26 05:31:01.996925,3075.999,False,1.030718,6.9e-05,0.0,0.0
2024-01-26 05:31:01.996925,3075.999,True,1.062323,1.097096,1.135724,1.126153
2024-01-26 05:31:02.988600,3076.999,False,1.203755,6.9e-05,0.0,0.0
2024-01-26 05:31:02.988600,3076.999,True,1.062461,1.097027,1.135862,1.126222
2024-01-26 05:31:03.995900,3077.999,False,1.41969,6.9e-05,0.0,0.0
2024-01-26 05:31:04.001350,3077.999,True,1.062529,1.096889,1.135793,1.126084
2024-01-26 05:31:04.987750,3078.999,False,1.704206,6.9e-05,0.0,0.0
2024-01-26 05:31:04.993175,3078.999,True,1.062254,1.097027,1.135793,1.125878
2024-01-26 05:31:05.995575,3079.999,False,1.974469,6.9e-05,0.0,0.0
2024-01-26 05:31:06.001000,3079.999,True,1.062392,1.096682,1.135931,1.126015
2024-01-26 05:31:06.987400,3080.999,False,2.304569,6.9e-05,0.0,0.0
2024-01-26 05:31:06.992825,3080.999,True,1.062392,1.096958,1.136,1.126222
2024-01-26 05:31:07.995250,3081.999,False,2.538338,6.9e-05,0.0,0.0
2024-01-26 05:31:08.000700,3081.999,True,1.062254,1.096958,1.135862,1.126222
