Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,x_val,x_val_lin,x_mcp,x_mcp_lin,v1_shift,v3_shift,y_val,y_val_lin,y_mcp,y_mcp_lin,v4_shift,v2_shift
2024-01-26 05:11:21.982675+00:00,1895.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.545,3.118,1.128,1.098
2024-01-26 05:11:22.990500+00:00,1896.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.573,40.665,0.004,1.137,0.493,0.604,-5.546,3.117,1.128,1.098
2024-01-26 05:11:23.982375+00:00,1897.999,True,1.063,1.098,1.137,1.128,0.997,1.062,35.583,40.675,0.003,1.137,0.493,0.604,-5.544,3.12,1.128,1.098
2024-01-26 05:11:24.990200+00:00,1898.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.542,3.12,1.128,1.098
2024-01-26 05:11:25.982050+00:00,1899.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.66,0.004,1.137,0.493,0.604,-5.547,3.115,1.128,1.098
2024-01-26 05:11:26.989875+00:00,1900.999,True,1.064,1.098,1.137,1.128,0.997,1.061,35.55,40.642,0.004,1.137,0.493,0.604,-5.542,3.118,1.128,1.098
2024-01-26 05:11:27.981700+00:00,1901.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.546,3.116,1.128,1.098
2024-01-26 05:11:28.989550+00:00,1902.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.662,0.004,1.137,0.493,0.604,-5.539,3.124,1.127,1.098
2024-01-26 05:11:29.981350+00:00,1903.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.546,3.116,1.128,1.098
2024-01-26 05:11:30.994125+00:00,1904.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.651,0.004,1.137,0.493,0.604,-5.546,3.115,1.128,1.098
2024-01-26 05:11:31.981000+00:00,1905.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.559,40.652,0.004,1.137,0.493,0.604,-5.54,3.121,1.127,1.098
2024-01-26 05:11:32.988725+00:00,1906.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.542,3.12,1.127,1.098
2024-01-26 05:11:33.980650+00:00,1907.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.573,40.665,0.004,1.137,0.493,0.604,-5.546,3.117,1.128,1.098
2024-01-26 05:11:34.988525+00:00,1908.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.573,40.666,0.004,1.137,0.493,0.604,-5.542,3.121,1.128,1.098
2024-01-26 05:11:35.980100+00:00,1909.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.583,40.675,0.003,1.137,0.493,0.604,-5.542,3.122,1.127,1.098
2024-01-26 05:11:36.988150+00:00,1910.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.574,40.666,0.004,1.137,0.493,0.604,-5.544,3.119,1.127,1.098
2024-01-26 05:11:37.995900+00:00,1911.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.545,3.118,1.127,1.098
2024-01-26 05:11:38.987725+00:00,1912.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.578,40.671,0.003,1.137,0.493,0.604,-5.54,3.124,1.127,1.098
2024-01-26 05:11:40.000325+00:00,1913.999,True,1.063,1.098,1.137,1.128,0.997,1.062,35.583,40.674,0.003,1.137,0.493,0.604,-5.547,3.117,1.128,1.098
2024-01-26 05:11:40.990625+00:00,1914.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.545,3.118,1.128,1.098
2024-01-26 05:11:41.995225+00:00,1915.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.546,3.116,1.128,1.098
2024-01-26 05:11:42.987200+00:00,1916.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.578,40.67,0.003,1.137,0.493,0.604,-5.546,3.117,1.127,1.098
2024-01-26 05:11:43.994925+00:00,1917.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
