Date,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount,utc_time,local_time
2024-01-26 05:10:48.980100,1862.999,2.0,,,21.156298828124996,,,,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:25.317510000,2023-03-09 10:14:25.317510000
2024-01-26 05:10:49.987900,1863.999,3.0,,,21.156298828124996,21.7071533203125,,,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:26.325310000,2023-03-09 10:14:26.325310000
2024-01-26 05:10:50.979050,1864.999,4.0,,,21.156298828124996,21.7071533203125,66.8982177734375,,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:27.316460001,2023-03-09 10:14:27.316460001
2024-01-26 05:10:51.987550,1865.999,5.0,,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:28.324960000,2023-03-09 10:14:28.324960000
2024-01-26 05:10:52.994750,1866.999,6.0,,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:29.332160000,2023-03-09 10:14:29.332160000
2024-01-26 05:10:53.987250,1867.999,7.0,,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:30.324660001,2023-03-09 10:14:30.324660001
2024-01-26 05:10:54.994400,1868.999,8.0,,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:31.331810000,2023-03-09 10:14:31.331810000
2024-01-26 05:10:55.986900,1869.999,9.0,,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,,,,,,,1.0,0.0,0.0,2023-03-09 15:14:32.324310000,2023-03-09 10:14:32.324310000
2024-01-26 05:10:56.994725,1870.999,10.0,,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,,,,,,1.0,0.0,0.0,2023-03-09 15:14:33.332135000,2023-03-09 10:14:33.332135000
2024-01-26 05:10:57.986575,1871.999,11.0,,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:34.323985000,2023-03-09 10:14:34.323985000
2024-01-26 05:10:58.993900,1872.999,0.0,20.93595703125,,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:35.331310000,2023-03-09 10:14:35.331310000
2024-01-26 05:10:59.986250,1873.999,1.0,20.93595703125,-268.04230957031245,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:36.323660000,2023-03-09 10:14:36.323660000
2024-01-26 05:11:00.993650,1874.999,2.0,20.93595703125,-268.04230957031245,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:37.331060000,2023-03-09 10:14:37.331060000
2024-01-26 05:11:01.985900,1875.999,3.0,20.93595703125,-268.04230957031245,21.156298828124996,21.7071533203125,66.8982177734375,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:38.323310000,2023-03-09 10:14:38.323310000
2024-01-26 05:11:02.993575,1876.999,4.0,20.93595703125,-268.04230957031245,21.156298828124996,21.7071533203125,66.65339355468751,0.15203583984375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:39.330985000,2023-03-09 10:14:39.330985000
2024-01-26 05:11:03.985600,1877.999,5.0,20.93595703125,-268.04230957031245,21.156298828124996,21.7071533203125,66.65339355468751,0.150934130859375,23.06418489383693,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:40.323010000,2023-03-09 10:14:40.323010000
2024-01-26 05:11:04.993425,1878.999,6.0,20.93595703125,-268.04230957031245,21.156298828124996,21.7071533203125,66.65339355468751,0.150934130859375,22.943528998056074,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:41.330835000,2023-03-09 10:14:41.330835000
2024-01-26 05:11:05.985250,1879.999,7.0,20.93595703125,-268.04230957031245,21.156298828124996,21.7071533203125,66.65339355468751,0.150934130859375,22.943528998056074,0.003305126953125,43.52673952236621,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2023-03-09 15:14:42.322660000,2023-03-09 10:14:42.322660000
