Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,x_val,x_val_lin,x_mcp,x_mcp_lin,v1_shift,v3_shift,y_val,y_val_lin,y_mcp,y_mcp_lin,v4_shift,v2_shift
2023-03-09 13:21:26.534883+00:00,237999,True,1.073,1.109,1.146,1.137,0.691,0.769,11.562,17.64,0.003,0.006,0.546,0.621,-1.418,4.484,0.007,0.009
2023-03-09 13:21:26.534883+00:00,238999,True,1.073,1.109,1.147,1.137,0.693,0.77,11.696,17.752,0.003,0.007,0.544,0.62,-1.54,4.378,0.007,0.009
2023-03-09 13:21:26.534883+00:00,239999,True,1.073,1.109,1.146,1.137,0.709,0.787,12.978,19.103,0.003,0.006,0.551,0.628,-1.016,5.045,0.007,0.009
2023-03-09 13:21:26.534883+00:00,240999,True,1.073,1.109,1.146,1.137,0.709,0.786,12.978,18.988,0.003,0.006,0.542,0.619,-1.724,4.342,0.007,0.009
2023-03-09 13:21:26.534883+00:00,241999,True,1.073,1.109,1.146,1.137,0.702,0.78,12.448,18.56,0.003,0.006,0.55,0.626,-1.133,4.868,0.007,0.009
2023-03-09 13:21:26.534883+00:00,242999,True,1.073,1.109,1.147,1.137,0.703,0.782,12.495,18.718,0.003,0.007,0.558,0.635,-0.451,5.552,0.007,0.009
2023-03-09 13:21:26.534883+00:00,243999,True,1.073,1.109,1.146,1.137,0.699,0.778,12.205,18.4,0.003,0.006,0.556,0.632,-0.642,5.329,0.007,0.009
2023-03-09 13:21:26.534883+00:00,244999,True,1.073,1.109,1.146,1.137,0.686,0.764,11.16,17.284,0.003,0.006,0.549,0.624,-1.169,4.686,0.007,0.009
2023-03-09 13:21:26.534883+00:00,245999,True,1.073,1.109,1.146,1.137,0.699,0.778,12.148,18.357,0.003,0.006,0.557,0.633,-0.562,5.402,0.007,0.009
2023-03-09 13:21:26.534883+00:00,246999,True,1.073,1.109,1.146,1.137,0.702,0.779,12.384,18.431,0.003,0.006,0.544,0.621,-1.54,4.456,0.007,0.009
2023-03-09 13:21:26.534883+00:00,247999,True,1.073,1.109,1.147,1.137,0.717,0.793,13.567,19.539,0.003,0.007,0.54,0.618,-1.905,4.229,0.007,0.009
2023-03-09 13:21:26.534883+00:00,248999,True,1.073,1.109,1.146,1.137,0.696,0.773,11.97,17.998,0.003,0.006,0.542,0.618,-1.693,4.258,0.007,0.009
2023-03-09 13:21:26.534883+00:00,249999,True,1.073,1.109,1.146,1.137,0.702,0.779,12.384,18.426,0.003,0.006,0.544,0.62,-1.57,4.427,0.007,0.009
2023-03-09 13:21:26.534883+00:00,250999,True,1.073,1.109,1.146,1.137,0.686,0.764,11.16,17.284,0.003,0.006,0.549,0.624,-1.169,4.686,0.007,0.009
2023-03-09 13:21:26.534883+00:00,251999,True,1.073,1.109,1.146,1.137,0.703,0.78,12.511,18.532,0.003,0.006,0.542,0.619,-1.693,4.319,0.007,0.009
2023-03-09 13:21:26.534883+00:00,252999,True,1.073,1.109,1.146,1.137,0.705,0.782,12.627,18.701,0.003,0.006,0.547,0.623,-1.356,4.668,0.007,0.009
2023-03-09 13:21:26.534883+00:00,253999,True,1.073,1.109,1.146,1.137,0.692,0.768,11.606,17.618,0.003,0.006,0.541,0.616,-1.821,4.089,0.007,0.009
2023-03-09 13:21:26.534883+00:00,254999,True,1.073,1.109,1.147,1.137,0.706,0.783,12.733,18.742,0.003,0.007,0.542,0.619,-1.752,4.286,0.007,0.009
2023-03-09 13:21:26.534883+00:00,255999,True,1.073,1.109,1.146,1.137,0.699,0.775,12.148,18.153,0.003,0.006,0.541,0.617,-1.821,4.151,0.007,0.009
2023-03-09 13:21:26.534883+00:00,256999,True,1.073,1.109,1.147,1.137,0.701,0.776,12.323,18.262,0.003,0.007,0.536,0.612,-2.214,3.78,0.007,0.009
2023-03-09 13:21:26.534883+00:00,257999,True,1.073,1.109,1.147,1.137,0.717,0.793,13.567,19.574,0.003,0.007,0.542,0.621,-1.693,4.44,0.007,0.009
2023-03-09 13:21:26.534883+00:00,259999,True,1.073,1.109,1.146,1.137,0.696,0.774,11.97,18.033,0.003,0.006,0.545,0.621,-1.477,4.472,0.007,0.009
2023-03-09 13:21:26.534883+00:00,260999,True,1.073,1.108,1.146,1.137,0.689,0.765,11.38,17.343,0.003,0.006,0.537,0.612,-2.139,3.747,0.007,0.008
2023-03-09 13:21:26.534883+00:00,261999,True,1.073,1.108,1.146,1.137,0.692,0.767,11.606,17.514,0.003,0.006,0.533,0.608,-2.464,3.451,0.007,0.008
2023-03-09 13:21:26.534883+00:00,262999,True,1.073,1.109,1.146,1.137,0.693,0.771,11.742,17.833,0.003,0.006,0.547,0.623,-1.321,4.601,0.007,0.009
2023-03-09 13:21:26.534883+00:00,263999,True,1.073,1.108,1.146,1.137,0.702,0.777,12.448,18.337,0.003,0.006,0.532,0.609,-2.509,3.502,0.007,0.008
2023-03-09 13:21:26.534883+00:00,264999,True,1.073,1.109,1.146,1.137,0.694,0.771,11.789,17.795,0.003,0.006,0.54,0.616,-1.849,4.082,0.007,0.009
2023-03-09 13:21:26.534883+00:00,265999,True,1.073,1.109,1.146,1.137,0.715,0.792,13.397,19.491,0.003,0.006,0.549,0.627,-1.169,4.94,0.007,0.009
2023-03-09 13:21:26.534883+00:00,266999,True,1.073,1.109,1.147,1.137,0.696,0.774,11.918,18.063,0.003,0.007,0.552,0.627,-0.981,4.959,0.007,0.009
2023-03-09 13:21:26.534883+00:00,267999,True,1.073,1.108,1.146,1.137,0.694,0.769,11.789,17.695,0.003,0.006,0.533,0.608,-2.464,3.471,0.007,0.008
2023-03-09 13:21:26.534883+00:00,268999,True,1.073,1.109,1.147,1.137,0.711,0.788,13.15,19.137,0.003,0.007,0.54,0.618,-1.849,4.237,0.007,0.009
2023-03-09 13:21:26.534883+00:00,269999,True,1.103,1.129,1.148,1.164,0.204,0.274,-26.676,-21.199,0.033,0.008,0.459,0.479,-8.249,-6.655,0.034,0.029
2023-03-09 13:21:26.534883+00:00,270999,True,1.073,1.109,1.146,1.137,0.697,0.773,12.024,17.996,0.003,0.006,0.538,0.614,-2.032,3.927,0.007,0.009
2023-03-09 13:21:26.534883+00:00,271999,True,1.073,1.109,1.146,1.137,0.684,0.761,10.976,17.027,0.003,0.006,0.543,0.618,-1.634,4.203,0.007,0.009
2023-03-09 13:21:26.534883+00:00,272999,True,1.073,1.108,1.146,1.137,0.697,0.773,12.024,17.949,0.003,0.006,0.534,0.61,-2.325,3.636,0.007,0.008
2023-03-09 13:21:26.534883+00:00,273999,True,1.073,1.109,1.146,1.137,0.716,0.793,13.485,19.528,0.003,0.006,0.545,0.623,-1.477,4.645,0.007,0.009
2023-03-09 13:21:26.534883+00:00,274999,True,1.073,1.109,1.146,1.137,0.697,0.775,12.024,18.117,0.003,0.006,0.548,0.623,-1.289,4.665,0.007,0.009
2023-03-09 13:21:26.534883+00:00,275999,True,1.073,1.108,1.147,1.137,0.703,0.778,12.495,18.41,0.003,0.007,0.534,0.611,-2.348,3.666,0.007,0.008
2023-03-09 13:21:26.534883+00:00,276999,True,1.072,1.109,1.146,1.137,0.719,0.796,13.754,19.798,0.002,0.006,0.546,0.624,-1.446,4.706,0.007,0.009
2023-03-09 13:21:26.534883+00:00,277999,True,1.073,1.109,1.146,1.137,0.699,0.776,12.205,18.235,0.003,0.006,0.543,0.619,-1.664,4.313,0.007,0.009
2023-03-09 13:21:26.534883+00:00,278999,True,1.073,1.108,1.146,1.137,0.706,0.782,12.692,18.694,0.003,0.006,0.541,0.618,-1.793,4.241,0.007,0.008
2023-03-09 13:21:26.534883+00:00,279999,True,1.073,1.109,1.146,1.137,0.695,0.773,11.895,17.954,0.003,0.006,0.545,0.62,-1.508,4.433,0.007,0.009
2023-03-09 13:21:26.534883+00:00,280999,True,1.073,1.109,1.146,1.137,0.695,0.772,11.839,17.879,0.003,0.006,0.543,0.619,-1.634,4.301,0.007,0.009
2023-03-09 13:21:26.534883+00:00,281999,True,1.073,1.109,1.146,1.137,0.702,0.779,12.384,18.422,0.003,0.006,0.544,0.62,-1.599,4.398,0.007,0.009
2023-03-09 13:21:26.534883+00:00,282999,True,1.073,1.109,1.146,1.137,0.718,0.795,13.658,19.729,0.003,0.006,0.548,0.626,-1.289,4.851,0.007,0.009
2023-03-09 13:21:26.534883+00:00,283999,True,1.072,1.109,1.146,1.137,0.721,0.798,13.927,19.969,0.002,0.006,0.546,0.624,-1.446,4.726,0.007,0.009
2023-03-09 13:21:26.534883+00:00,284999,True,1.073,1.109,1.147,1.137,0.706,0.785,12.733,18.916,0.003,0.007,0.555,0.632,-0.678,5.353,0.007,0.009
2023-03-09 13:21:26.534883+00:00,285999,True,1.073,1.108,1.146,1.137,0.696,0.775,11.97,18.137,0.003,0.006,0.553,0.629,-0.836,5.109,0.007,0.008
2023-03-09 13:21:26.534883+00:00,286999,True,1.072,1.109,1.146,1.137,0.729,0.805,14.545,20.518,0.002,0.006,0.541,0.62,-1.821,4.424,0.007,0.009
2023-03-09 13:21:26.534883+00:00,287999,True,1.073,1.108,1.146,1.137,0.713,0.791,13.309,19.396,0.003,0.006,0.548,0.626,-1.225,4.875,0.007,0.008
2023-03-09 13:21:26.534883+00:00,288999,True,1.073,1.109,1.146,1.137,0.715,0.792,13.397,19.508,0.003,0.006,0.55,0.628,-1.067,5.042,0.007,0.009
2023-03-09 13:21:26.534883+00:00,289999,True,1.073,1.108,1.146,1.137,0.695,0.772,11.839,17.884,0.003,0.006,0.544,0.619,-1.604,4.331,0.007,0.008
2023-03-09 13:21:26.534883+00:00,290999,True,1.11,1.127,1.133,1.145,-0.196,-0.091,-58.155,-49.908,0.04,-0.007,0.644,0.617,6.277,4.192,0.015,0.027
2023-03-09 13:21:26.534883+00:00,291999,True,1.293,1.401,1.063,1.27,-0.526,-0.41,-84.017,-74.933,0.223,-0.077,0.683,0.618,9.33,4.281,0.14,0.301
2023-03-09 13:21:26.534883+00:00,292999,True,1.072,1.109,1.146,1.137,0.715,0.791,13.401,19.42,0.002,0.006,0.543,0.621,-1.634,4.479,0.007,0.009
2023-03-09 13:21:26.534883+00:00,293999,True,1.073,1.108,1.146,1.137,0.705,0.781,12.627,18.579,0.003,0.006,0.537,0.614,-2.114,3.915,0.007,0.008
